{ stage: "Sink" name: "sink_stat" target: "residue/[0]" wp_sink_group: "residue" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:02.809604" end_time: "2026-05-29 11:02:07.609832" }
{ stage: "Sink" name: "sink_stat" target: "monitor/[0]" wp_sink_group: "monitor" wp_sink_name: "[0]" total: 7 success: 7 suc_rate: 100 speed: 0.00014323715981174546 beg_time: "2026-05-29 11:02:02.723179" end_time: "2026-05-29 11:02:07.609865" }
{ stage: "Sink" name: "sink_stat" target: "error/[0]" wp_sink_group: "error" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:02.809647" end_time: "2026-05-29 11:02:07.609899" }
{ stage: "Pick" name: "pick_stat" target: "gen_udp" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:07.804407" end_time: "2026-05-29 11:02:12.664517" }
{ stage: "Sink" name: "sink_stat" target: "default/[0]" wp_sink_group: "default" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:07.809330" end_time: "2026-05-29 11:02:12.709069" }
{ stage: "Sink" name: "sink_stat" target: "miss/[0]" wp_sink_group: "miss" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:07.809389" end_time: "2026-05-29 11:02:12.709093" }
{ stage: "Sink" name: "sink_stat" target: "residue/[0]" wp_sink_group: "residue" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:07.809412" end_time: "2026-05-29 11:02:12.709101" }
{ stage: "Sink" name: "sink_stat" target: "monitor/[0]" wp_sink_group: "monitor" wp_sink_name: "[0]" total: 7 success: 7 suc_rate: 100 speed: 0.00014039310068190934 beg_time: "2026-05-29 11:02:07.723849" end_time: "2026-05-29 11:02:12.709108" }
{ stage: "Sink" name: "sink_stat" target: "error/[0]" wp_sink_group: "error" wp_sink_name: "[0]" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:07.809442" end_time: "2026-05-29 11:02:12.709120" }
{ stage: "Sink" name: "sink_stat" target: "kafka_sink/all_sink" wp_sink_group: "kafka_sink" wp_sink_name: "all_sink" total: 0 success: 0 suc_rate: 0 speed: 0 beg_time: "2026-05-29 11:02:07.909208" end_time: "2026-05-29 11:02:12.709083" }
